field_1,Endhaltestelle,Langname,Xkoordinat,Ykoordinat,lon,lat,elevation
1337,RVWP01,Richard-von-Weizsäcker-Platz,21732000,17731100,21732,17731.1,0
1338,ALBT02,Albertstr.,21513000,17553800,21513,17553.8,0
1339,DOHA01,Dominicusstr./Hauptstr.,21193400,17259000,21193.4,17259,0
1340,ALBT03,Albertstr.,21477500,17487500,21477.5,17487.5,0
1341,AHLW01,Ahlener Weg,18198100,9282700,18198.1,9282.7,0
1342,FELD01,Feldstr.,18109200,9896600,18109.2,9896.6,0
1343,ODSU01,Ostpreußendamm Süd,18016400,9753100,18016.4,9753.1,0
1344,SLIS04,S Lichterfelde Süd,18431700,9348200,18431.7,9348.2,0
1345,SLIS02,S Lichterfelde Süd,18441500,9349400,18441.5,9349.4,0
1346,DOHA04,Dominicusstr./Hauptstr.,21223700,17261600,21223.7,17261.6,0
1347,BRSP01,Breslauer Platz,20318400,16116700,20318.4,16116.7,0
1348,HAEN01,Hähnelstr.,20619000,16511099,20619,16511.099,0
1349,RVWP03,Richard-von-Weizsäcker-Platz,21806900,17830300,21806.9,17830.3,0
1350,UKT01,U Kleistpark,22023900,18234300,22023.9,18234.3,0
1351,GOEB01,Goebenstr.,22050300,18572000,22050.3,18572,0
1352,UBUE01,U Bülowstr.,22110300,18963700,22110.3,18963.7,0
1353,UKFS04,U Kurfürstenstr.,22162600,19171300,22162.6,19171.3,0
1354,LUPO01,Lützowstr./Potsdamer Str.,22446400,19710100,22446.4,19710.1,0
1355,POBR03,Potsdamer Brücke,22500700,19789000,22500.7,19789,0
1356,LUPO02,Lützowstr./Potsdamer Str.,22372500,19613800,22372.5,19613.8,0
1357,UKFS05,U Kurfürstenstr.,22168300,19231700,22168.3,19231.7,0
1358,UBUE02,U Bülowstr.,22087000,18936500,22087,18936.5,0
1359,GOEB02,Goebenstr.,22039200,18648200,22039.2,18648.2,0
1360,UKT02,U Kleistpark,21997600,18211900,21997.6,18211.9,0
1361,HAEN02,Hähnelstr.,20587500,16497599,20587.5,16497.599,0
1362,BRSP02,Breslauer Platz,20298400,16116300,20298.4,16116.3,0
1363,KAEI04,Kaisereiche,20067000,15759200,20067,15759.2,0
1364,SLIS05,S Lichterfelde Süd,18434500,9323300,18434.5,9323.3,0
1365,LIPP02,Lippstädter Str.,17982900,9622400,17982.9,9622.4,0
